店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
印象豆捞自助烤肉火锅,1180597,烤肉自助,印象豆捞自助烤肉火锅,1650592,,3.4,42,42.8,解放西/泰龙城,5312,20.038458,110.338334,龙华区解放西个体大世界3楼,,,停车位收费标准：大同宾馆可停车 5元/1次,单人午餐42.8元，单人午/晚餐49.8元，单人午餐168元，单人午/晚餐196元;,周一至周日 11:00-14:30 17:30-21:30  非营业时段 2018-02-15至2018-02-19 10:00-23:00,0898-66102206,366318,印象豆捞位于解放西路23号个体大世界商场3楼（友谊商城对面），交通便利，环境优美，环境大气而精致，宽敞而明亮的环境让前去用餐的消费者心情舒适，而时尚雅致的装修也会带给每位前来消费的顾客一个愉悦的心情。,,False,0,1029,366318,True,False
圣琼美食百汇自助餐厅(金丽城店),81219161,综合自助,,0,,3.9,53,49.8,友谊广场,5312,20.037278,110.336801,龙华区龙华路金丽城2楼,,,,单人午餐49.8元，单人午/晚餐59.8元;,周一至周日 11:00-16:00 17:00-22:00  2019-02-04至2019-02-06 休息,0898-66245677,279725,,,False,0,1826,279725,False,False
爱尚客韩式烤肉自助餐厅,99706080,综合自助,,0,,4.2,54,45.9,京华城,5312,20.027548,110.317861,龙华区玉沙路京华城C区3楼c006-1,3,,停车位收费标准：商场有停车地方,单人午餐45.9元，单人晚餐55.9元;,周一至周日 11:00-21:30,0898-68500328,195003,,,False,0,1008,195003,True,False
味道呱呱叫火锅饭店(龙华总店),1484162,川味火锅,,0,,4.1,52,89.9,亿圣和广,5313,20.027313,110.338643,美兰区龙华区大同路海秀东路13号（彩虹天桥旁，大同路路口）,,,免费提供20个停车位,3-4人餐89.9元;,周一至周日 全天,0898-66797789,180139,味道呱呱叫火锅饭店位于海口市大同路和海秀东路交叉的核心地位（市九中公交站旁），毗邻海口鸿运大酒店。店内主营各种川湘口味菜肴。其中以香辣蛙和猪肚包鸡最为出名，已经在海南做出了属于呱呱叫自己的独特口味，得到广大食客的肯定。本店本着对美味的孜孜追求，积极吸取消费者的意见和建议，同时商家开通微博接受消费者的监督和指导。店内环境和品味在不断得到完善。商家保证所售菜品均足斤足两。,,False,0,882,180139,True,False
隔壁子串串香(文明中店),40185259,串串香,,0,,3.9,58,0.8,文明路/和平南路,5313,20.039721,110.350517,美兰区文明中路125号勤工俭学大楼2层203室（文明中路市中医院旁边，工商银行正对面）,,,,0.8代1元，88代100元;,周一至周日 11:00-23:00  2019-02-03至2019-02-08 休息,0898-66113919,155654,,,False,0,56,155654,True,False
亿鑫哇哇香火锅(朱云店),110345781,四川火锅,,0,,3.4,41,59.9,高铁东站、龙昆南,5315,20.00323,110.34992,琼山区朱云路和红城湖路交界处南行50米,,,,双人餐59.9元，2-3人餐68元，4人餐79.9元起，5-6人餐99.9元;88代100元;,周一至周日 09:00-05:00,0898-65884552,142277,,,False,1,1677,142277,False,False
隐泉の源,1576858,综合自助,,0,,4.4,171,198,京华城,5312,20.027691,110.319907,龙华区玉沙路京华城3楼A座1号铺,3,,免费提供200个停车位,单人午餐198元，单人晚餐218元，单人晚餐418元，单人晚餐608元;,周一至周日 10:00-14:00 17:30-21:00,0898-68532390,128540,隐泉の源是一家以连锁形式经营的铁板烧专门店，本店的特色铁板烧，创意寿司已成为行业中的一大亮点，深受广大食客的亲睐，真真的做到了家喻户晓，老少皆宜，是一个朋友聚会，家庭聚餐的理想场所。“取以天然、佐之精简、逗留齿类的曼妙、回味幽远；泉心于眼、泉眼是源、常驻心田的牵挂、寻根启源。,,False,0,262,128540,True,False
薇薇安(上邦店),95600942,蛋糕,,0,,4.9,18,13.9,上邦百汇城,5312,20.021716,110.322258,龙华区金贸街道金龙路11号隆仟百货1楼门口,1,,,13.9元鲜榨果汁4选1，16.9元千层蛋糕切件，122.9元蛋糕9选1，228元蛋糕10选1，238元蛋糕9选1;,周一至周日 10:00-22:30  2019-02-04至2019-02-09 休息,0898-68576246,114442,,,False,1,159,114442,True,False
隔壁子串串火锅,84662726,串串香,,0,,4.1,57,0,大同路沿线,5312,20.031642,110.337748,龙华区万国西路3号义龙大厦3楼（义龙中学右侧）,,,,,周一至周日 17:00-03:00,0898-66774754/17789890374,113557,,,False,0,0,113557,True,False
香辣美,1178532,四川火锅,,0,,3.9,39,70,东湖,5312,20.034425,110.348532,龙华区海府路1号东昇楼院内,,,免费停车,双人餐70元，3-4人餐88元，3-4人餐88元，4人餐89.9元起，6人餐185元;,周一至周日 11:00-01:00,0898-65391546,110653,,,False,0,698,110653,True,False
